road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
Dammam Road,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)",0.6666666666666667,71.8546508375311,39.599999999999994,47.042,Blue
Dhalam,"(24.8320047, 46.6934745)","(24.8206771, 46.66932689999999)",-0.35185185185185186,48.47223067783908,13.364814814814814,10.78,Blue
Discovery Blvd,"(24.7659472, 46.6391588)","(24.7607916, 46.636143)",0.41481481481481486,45.29918170639825,13.433333333333334,9.94688888888889,Blue
East Ring Road,"(24.7921447, 46.805914)","(24.6224894, 46.7188421)",4.972222222222222,46.09711954021678,48.029629629629625,35.51266666666666,Blue
FAHHAD MOHAMMAD AL JFIRAN STREET,"(24.68896, 46.76417319999999)","(24.6840036, 46.7132541)",1.1444444444444444,30.055651237868485,18.549999999999997,8.912666666666667,Blue
Farsan,"(24.8359023, 46.6910592)","(24.8311855, 46.6812483)",-0.26481481481481484,54.506059692829886,7.825925925925926,7.135666666666667,Blue
Ibraheem Bin Abdulsalam,"(24.6593747, 46.7057037)","(24.5973701, 46.6523551)",-0.07407407407407408,33.617233539145964,21.609259259259257,11.994444444444445,Blue
Imam Malik Road,"(24.8506483, 46.7188421)","(24.7825477, 46.56863670000001)",2.42037037037037,52.242416157799155,25.887037037037036,22.275,Yellow
Irqah,"(24.7093091, 46.6160267)","(24.6686628, 46.4822893)",-0.187037037037037,49.04228030158821,21.964814814814815,17.909444444444446,Blue
Ismail Al Andulus,"(24.7568426, 46.8027447)","(24.7302837, 46.7745554)",-0.24814814814814815,38.52673362417473,10.501851851851852,6.719,Blue
Jeddah Road,"(24.6942703, 46.64157160000001)","(24.5263166, 46.4387046)",2.3444444444444446,75.9205436919463,42.62777777777777,52.827,Blue
Jzr Al Khaleej,"(24.7968653, 46.8295247)","(24.7568426, 46.77653309999999)",-0.25370370370370376,28.05245545354598,21.146296296296295,9.848,Blue
Khurais Road,"(24.946473, 46.9999471)","(24.7106093, 46.7623591)",3.5037037037037035,70.07045900293325,35.63703703703704,41.159,Blue
King Abdul Aziz Road,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)",1.7740740740740741,60.83082942889647,57.20185185185184,57.52033333333333,Blue
King Abdulaziz,"(24.7427455, 46.7450497)","(24.6935528, 46.6929946)",2.5240740740740737,36.141567363004555,20.04444444444444,11.747555555555556,Yellow
King Abdullah Road,"(24.801193, 46.8204406)","(24.6968763, 46.6222727)",4.188888888888889,57.523082964572836,27.737037037037037,25.496111111111112,Blue
King Salman Road,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)",0.9500000000000001,68.24249550107663,37.166666666666664,42.181,Blue
King Saud,"(24.6933354, 46.7188421)","(24.638759, 46.6457942)",3.140740740740741,40.429872750545414,21.225925925925925,13.379333333333333,Blue
Laban Valley,"(24.6575726, 46.6508675)","(24.6016845, 46.563363)",2.977777777777778,51.00155639741923,26.451851851851853,21.29111111111111,Blue
Maan Bin Ows,"(24.6320336, 46.8010727)","(24.6273961, 46.7913915)",1.5166666666666666,45.83470176297665,9.983333333333333,7.165,Blue
Makkah al-Mukarramah Road,"(24.7201491, 46.7671967)","(24.6656897, 46.6367462)",3.8925925925925924,48.50636049993369,22.805555555555557,16.69722222222222,Blue
Masafi,"(24.8249208, 46.7484538)","(24.7987016, 46.7084972)",0.05,39.29805491751164,10.959259259259259,7.170111111111112,Blue
Mohamed Ibn Hamd Ibn Faris,"(24.6679326, 46.7478493)","(24.6359973, 46.7285093)",2.4555555555555557,26.466431682845098,15.922222222222224,6.54,Blue
Mohammed Ali Jinnah,"(24.8148754, 46.7986522)","(24.7545582, 46.6995133)",0.7648148148148148,47.60701562261304,23.087037037037035,17.842111111111112,Blue
No.2,"(24.8184527, 46.6657058)","(24.8152541, 46.6584643)",0.7648148148148147,48.81420852370394,8.357407407407408,6.642222222222222,Blue
No.509,"(24.9625832, 46.7285093)","(24.699414, 46.574058)",1.4037037037037037,69.77920510444025,41.55555555555556,48.18366666666667,Blue
Northern Ring Road,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)",2.8018518518518523,77.95462754414821,43.08518518518518,55.002,Blue
Olaya Road,"(24.8302126, 46.6995133)","(24.6639052, 46.612626)",2.6888888888888887,60.91428326379461,38.455555555555556,38.197,Blue
Omar Al Hajeb,"(24.7854632, 46.8028881)","(24.760707, 46.7590336)",0.3722222222222222,32.05679619882858,11.988888888888889,6.338,Blue
Othman Bin Affan Road,"(24.8540833, 46.7285093)","(24.7410088, 46.670534)",4.216666666666667,52.65695483277321,22.93148148148148,19.088444444444445,Blue
Prince Ahmed Bin Abdulaziz,"(24.644358, 46.6463975)","(24.6263283, 46.5861072)",-0.5944444444444444,41.0418622456954,11.855555555555556,8.106,Blue
Prince Sultan Bin Abdul Aziz,"(24.78070620000002, 46.5690375)","(24.74708999999998, 46.528985)",-0.11296296296296296,41.918090068661286,11.753703703703703,8.204,Blue
Qaha,"(24.8094773, 46.7508718)","(24.7984307, 46.712499)",0.5648148148148148,45.988343070593096,9.518518518518519,7.059333333333333,Blue
Raghdan,"(24.6722289, 46.7345617)","(24.6388126, 46.7019289)",1.4574074074074073,24.443690485518314,17.220370370370368,6.514666666666667,Blue
Sabta,"(24.76491, 46.6699305)","(24.7191642, 46.6578609)",1.8037037037037038,41.479845116405,11.653703703703703,7.751777777777777,Blue
Saeed Bin Amer,"(24.7272521, 46.7727151)","(24.6793498, 46.7581267)",0.12222222222222218,37.097076993299005,14.355555555555554,8.81788888888889,Blue
Second Ring Road,"(24.7607903, 46.8688931)","(24.6605258, 46.8446611)",-0.22407407407407418,53.01148588466979,17.19259259259259,15.103999999999997,Blue
Shab uldin Al taj,"(24.78133100000002, 46.6595165)","(24.73717459999997, 46.5755256)",0.8185185185185185,55.24387950647989,13.870370370370372,12.464555555555556,Blue
Shaheed Al Din Thum Al Watan Talal Abdulrahman Mohammed Al Maneh,"(24.7338302, 46.5931876)","(24.730017, 46.5900239)",-0.17592592592592593,55.21864728058988,8.807407407407407,8.069,Blue
Soukh Thi Al Mjaz,"(24.6817475, 46.7546277)","(24.6475414, 46.716127)",0.7388888888888886,29.46004381081992,18.022222222222222,8.525,Blue
Taiba,"(24.6511266, 46.5692391)","(24.6237563, 46.549366)",-1.0425925925925927,30.168307065612428,14.687037037037037,7.401777777777777,Blue
Tareq Bin Zaid Road,"(24.7469689, 46.8410273)","(24.706146, 46.8107557)",-0.46111111111111114,23.777129812114307,19.016666666666666,7.490333333333333,Blue
Tariq Bin Shabab,"(24.6226251, 46.7671967)","(24.5785679, 46.7430136)",1.3129629629629629,39.13742119240823,16.012962962962963,10.274,Blue
Umm Al Hamam,"(24.7124471, 46.6657058)","(24.6705468, 46.6488106)",-0.374074074074074,32.124573162298105,13.920370370370371,7.315000000000001,Blue
Western Ring Rd,"(24.7397288, 46.6463975)","(24.5539963, 46.5547852)",3.8722222222222222,59.425005152551684,37.15740740740741,34.843444444444444,Blue
Yalamlam,"(24.7968728, 46.8017535)","(24.7544746, 46.7894252)",0.33148148148148143,30.48378667369698,16.75,8.390888888888888,Blue
Yanbu,"(24.6492832, 46.5861072)","(24.5956169, 46.5018235)",2.783333333333333,39.42538983243707,23.055555555555557,14.61111111111111,Blue
أبو عبيدة عامر بن الجراح,"(24.6956725, 46.8591989)","(24.6619895, 46.7841318)",-1.0518518518518518,39.31480204920635,22.498148148148147,14.705,Blue
أبي العتاهية,"(24.737833, 46.8325494)","(24.7014787, 46.7792927)",0.07037037037037036,23.382039521162817,20.020370370370372,7.742,Blue
أبي الفتوح بن أبي الفوارس,"(24.7233106, 46.82316489999999)","(24.6967577, 46.7762684)",-1.2277777777777779,27.47090560854804,15.372222222222222,7.002,Blue
أبي عبيدة بن مسعود,"(24.7435132, 46.8325494)","(24.7020341, 46.8010727)",0.41851851851851857,25.30582663389653,17.201851851851853,7.176999999999999,Blue
أبي نصر الفارابي,"(24.6557667, 46.8913181)","(24.6429911, 46.8834379)",-2.2296296296296294,52.48402778960485,29.5037037037037,25.793444444444443,Blue
أحمد الموفق,"(24.6309504, 46.7043448)","(24.5838406, 46.6958899)",0.35185185185185186,43.89403975291636,10.918518518518518,7.88,Yellow
أحمد عبدالواحد,"(24.7132022, 46.7652314)","(24.7113442, 46.7638708)",0.8907407407407408,35.85440980272185,10.64074074074074,6.15,Blue
أسد السنة,"(24.6580379, 46.7768732)","(24.6289546, 46.7623591)",-0.3962962962962963,37.33412381240068,14.816666666666666,9.057777777777778,Blue
أم الزهر,"(24.7438936, 46.6958899)","(24.6915966, 46.6678181)",2.0944444444444446,38.049909909153385,15.427777777777777,9.448,Blue
إبراهيم آل الشيخ,"(24.8351449, 46.6922669)","(24.8296699, 46.6819982)",-0.3462962962962963,53.70871961656155,7.762962962962963,6.9494444444444445,Blue
إسماعيل البغدادي,"(24.7589695, 46.8053088)","(24.7281493, 46.7811073)",-0.8481481481481481,34.07610287242167,10.618518518518519,6.003,Blue
ابن كعب,"(24.7553853, 46.7635685)","(24.7181537, 46.7590336)",0.17407407407407402,33.301092800856665,11.625925925925925,6.382444444444444,Blue
الأسود بن هلال,"(24.76340690000002, 46.6271734)","(24.74446739999997, 46.582252)",0.42962962962962964,43.86918944556209,11.346296296296295,8.133,Blue
الأشبيلي,"(24.8093433, 46.8181123)","(24.776426, 46.7663688)",-0.38333333333333336,43.771714107190945,14.833333333333334,10.785,Blue
الأشقر,"(24.9081998, 46.9537969)","(24.8813536, 46.9283108)",0.012962962962962957,43.09997248898829,10.362962962962962,7.440999999999999,Blue
الأمير سعود بن عبدالله بن جلوي,"(24.8687954, 46.6632918)","(24.840795, 46.6053922)",-0.6907407407407408,56.98680981018708,15.207407407407409,14.437444444444445,Blue
الأمير فيصل بن عبدالعزيز بن سعود,"(24.6151277, 46.7067607)","(24.6092966, 46.6898516)",2.4074074074074074,30.829781265428526,13.081481481481482,6.523555555555556,Orange
الأوزاعي,"(24.7533144, 46.80894)","(24.7153136, 46.7716568)",1.0407407407407407,36.29991241723922,11.809259259259258,6.928222222222222,Yellow
الإسكندراني,"(24.7129533, 46.7762684)","(24.6739252, 46.7448269)",1.0499999999999998,31.30595426780675,15.305555555555555,7.830555555555555,Blue
الإمام أبي حنيفة,"(24.6353085, 46.6946822)","(24.5899618, 46.60298119999999)",-0.5611111111111111,36.85660891210499,23.12222222222222,14.015888888888888,Blue
