road_name,start_point,end_point,distance_km
الشعيرة,"(24.7469056, 46.7478243)","(24.7443431, 46.71069019999999)",7.934503678312725
Maan Bin Ows,"(24.6319775, 46.8013918)","(24.6365608, 46.8002853)",6.719687416741636
محمد بن البشير ألازهري,"(24.6758702, 46.8405904)","(24.6676627, 46.8161734)",6.873201713342128
الغاط,"(24.7815103, 46.7027378)","(24.7689342, 46.6778801)",6.29310939776995
طريق تركي الأول بن عبدالعزيز آل سعود,"(24.8472487, 46.6706332)","(24.7603145, 46.6359686)",13.083804710071831
طريق تركي الأول بن عبدالعزيز آل سعود,"(24.7603145, 46.6359686)","(24.6714335, 46.5583746)",12.745189779315353
شارع طريق الامام محمد بن سعود,"(24.7895261, 46.75266)","(24.7317617, 46.62908849999999)",14.802884608005193
الأشبيلي,"(24.8092055, 46.8179269)","(24.7771389, 46.7679856)",10.263469575483606
عائشة بنت أبي بكر,"(24.6177512, 46.6707142)","(24.5652591, 46.6319376)",9.769588809889648
السفح,"(24.6131073, 46.7204985)","(24.5742792, 46.6967593)",9.03126112284081
محايدة,"(24.6583126, 46.58610669999999)","(24.651473, 46.5659243)",4.8139871553504765
ممر النظيم,"(24.9526915, 47.0585479)","(24.7888572, 46.8588979)",28.620975519994467
ممر النظيم,"(24.7888572, 46.8588979)","(24.7724019, 46.8608874)",2.5016949861942512
Al Shaba'Niah,"(24.8519534, 46.8058949)","(24.7924503, 46.7216817)",12.752059923269382
Al Shaba'Niah,"(24.7924503, 46.7216817)","(24.7658861, 46.7220544)",4.897151762919945
Al Khozama,"(24.7363697, 46.6231491)","(24.6855349, 46.575724)",12.425339602262433
Aka,"(24.693558, 46.831367)","(24.6560904, 46.7588861)",10.648011689165466
Al Sahel Valley,"(24.8664589, 46.8155283)","(24.8304154, 46.7925476)",7.611136767767513
وادي هجر,"(24.8182089, 46.61868219999999)","(24.8185449, 46.596474)",6.7393726194296555
عطية بن جنادة,"(24.7606448, 46.7874162)","(24.7525848, 46.7476789)",6.41780063783647
أحمد عبدالواحد,"(24.7130224, 46.7653653)","(24.7256391, 46.7556568)",5.8447220100396695
جاكارتا,"(24.7184942, 46.8569208)","(24.6899551, 46.85579629999999)",5.915768283772636
Al Remal,"(24.9626418, 46.85121820000001)","(24.8839823, 46.8066945)",11.57405953165335
Al Remal,"(24.8839823, 46.8066945)","(24.8256348, 46.75860249999999)",10.840007660375317
الإمام أحمد بن حنبل,"(24.7679218, 46.8907377)","(24.7173974, 46.7662467)",15.743929916631046
الإمام أحمد بن حنبل,"(24.7173974, 46.7662467)","(24.6996327, 46.7767652)",3.5721591397561756
الإمام أبي حنيفة,"(24.6353788, 46.6946786)","(24.5943562, 46.6036457)",11.66343811669185
شارع الامير بندر بن عبد العزيز,"(24.7940234, 46.8506411)","(24.7328558, 46.7911175)",10.2855661551485
شارع الامير بندر بن عبد العزيز,"(24.7328558, 46.7911175)","(24.7455472, 46.771626)",3.2796693310854397
Al Ward,"(24.6771063, 46.5904098)","(24.6359363, 46.5417608)",10.220619711770409
