Road Name,Distance (km),Time (mins),Ratio (km/min),Start_point,End_point
Al Basham St.,13.576,19.2,0.7070833333333334,"(24.7493703, 46.8243757)","(24.6834516, 46.7679526)"
التخصصي,23.312,36.36666666666667,0.6410265811182402,"(24.7577072, 46.6898516)","(24.6509204, 46.6367462)"
Al Imam S'Aud Bin Abdulaziz Bin Mohammed,23.834,35.71666666666667,0.6673075128324778,"(24.6060597, 46.8495065)","(24.5533825, 46.7744539)"
معادي,10.351,13.466666666666669,0.7686386138613862,"(24.5913209, 46.6946822)","(24.541271, 46.65001720000001)"
شارع الامير بندر بن عبد العزيز,13.781,20.7,0.6657487922705314,"(24.7941059, 46.850718)","(24.7457271, 46.7720347)"
شارع منصور الحازمي,6.879,10.016666666666667,0.6867554076539101,"(24.8953296, 46.6391588)","(24.8890564, 46.6355399)"
النهضة,11.426,18.383333333333333,0.621541251133273,"(24.7812165, 46.8412932)","(24.740026, 46.7902745)"
الجبل الأبيض,12.804,16.083333333333332,0.7961036269430053,"(24.7987395, 46.6509222)","(24.7389743, 46.6023784)"
Atia,6.009,8.316666666666666,0.7225250501002005,"(24.7736461, 46.7222027)","(24.7524547, 46.6826067)"
ممر 157,8.404,17.566666666666666,0.4784060721062618,"(24.594892, 46.6403652)","(24.571468, 46.5812872)"
